512,1023,512,0
576,1019,447,4
639,1007,384,16
700,987,323,36
758,960,265,63
812,925,211,98
862,884,161,139
906,838,117,185
943,786,80,237
974,729,49,294
998,670,25,353
1014,607,9,416
1022,544,1,479
1022,479,1,544
1014,416,9,607
998,353,25,670
974,294,49,729
943,237,80,786
906,185,117,838
862,139,161,884
812,98,211,925
758,63,265,960
700,36,323,987
639,16,384,1007
576,4,447,1019
512,0,512,1023
447,4,576,1019
384,16,639,1007
323,36,700,987
265,63,758,960
211,98,812,925
161,139,862,884
117,185,906,838
80,237,943,786
49,294,974,729
25,353,998,670
9,416,1014,607
1,479,1022,544
1,544,1022,479
9,607,1014,416
25,670,998,353
49,729,974,294
80,786,943,237
117,838,906,185
161,884,862,139
211,925,812,98
265,960,758,63
323,987,700,36
384,1007,639,16
447,1019,576,4
512,1023,512,0
576,1019,447,4
639,1007,384,16
700,987,323,36
758,960,265,63
812,925,211,98
862,884,161,139
906,838,117,185
943,786,80,237
974,729,49,294
998,670,25,353
1014,607,9,416
1022,544,1,479
1022,479,1,544
1014,416,9,607
998,353,25,670
974,294,49,729
943,237,80,786
906,185,117,838
862,139,161,884
812,98,211,925
758,63,265,960
700,36,323,987
639,16,384,1007
576,4,447,1019
512,0,512,1023
447,4,576,1019
384,16,639,1007
323,36,700,987
265,63,758,960
211,98,812,925
161,139,862,884
117,185,906,838
80,237,943,786
49,294,974,729
25,353,998,670
9,416,1014,607
1,479,1022,544
1,544,1022,479
9,607,1014,416
25,670,998,353
49,729,974,294
80,786,943,237
117,838,906,185
161,884,862,139
211,925,812,98
265,960,758,63
323,987,700,36
384,1007,639,16
447,1019,576,4
